on_1b,on_2b,on_3b,outs,re
0,0,0,0,0.5003421125192757
0,0,0,1,0.26609831180332016
0,0,0,2,0.100942399154483
0,0,1,0,1.3597464342313788
0,0,1,1,0.9665314401622718
0,0,1,2,0.3612273361227336
0,1,0,0,1.0953292496171516
0,1,0,1,0.6850359634416743
0,1,0,2,0.32646048109965636
0,1,1,0,1.9253081943437274
0,1,1,1,1.3410601143563592
0,1,1,2,0.5488032105489465
1,0,0,0,0.8922134935304991
1,0,0,1,0.5248643761301989
1,0,0,2,0.21875745180402442
1,0,1,0,1.7750698146737751
1,0,1,1,1.1648563842626116
1,0,1,2,0.4930211202938476
1,1,0,0,1.4161237201976087
1,1,0,1,0.8787180379196382
1,1,0,2,0.42440081152642617
1,1,1,0,2.238058943089431
1,1,1,1,1.520780711825488
1,1,1,2,0.6982388135164742
